date,m21,adm15
11/1/2020,0.06,0.5025
10/1/2020,0.05,0.48
9/1/2020,0.08,0.4925
8/1/2020,0.14,0.5425
7/1/2020,0.07,0.55
6/1/2020,0.08,0.5375
5/1/2020,0.14,0.5475
4/1/2020,0.02,0.5175
3/1/2020,0.15,0.5125
2/1/2020,0.1,0.5575
1/1/2020,-0.02,0.565
12/1/2019,-0.01,0.57
11/1/2019,-0.08,0.5325
10/1/2019,0.01,0.515
9/1/2019,0.15,0.5675
8/1/2019,0.03,0.5775
7/1/2019,0.27,0.5625
6/1/2019,0.07,0.5475
5/1/2019,0.13,0.5525
4/1/2019,0.1,0.585
3/1/2019,0.09,0.585
2/1/2019,0.18,0.575
1/1/2019,0.23,0.5825
12/1/2018,-0.04,0.5975
11/1/2018,-0.2,0.5775
10/1/2018,-0.08,0.54
9/1/2018,-0.02,0.5375
8/1/2018,0.04,0.55
7/1/2018,0.02,0.5375
6/1/2018,-0.12,0.5425
5/1/2018,-0.03,0.5475
4/1/2018,-0.11,0.5475
3/1/2018,-0.3,0.5575
2/1/2018,-0.08,0.555
1/1/2018,-0.03,0.595
12/1/2017,-0.02,0.665
11/1/2017,-0.09,0.7
10/1/2017,0.07,0.71
9/1/2017,0.09,0.725
8/1/2017,-0.07,0.73
7/1/2017,0.11,0.74
6/1/2017,0.04,0.75
5/1/2017,0.15,0.77
4/1/2017,-0.03,0.79
3/1/2017,-0.02,0.775
2/1/2017,0.05,0.765
1/1/2017,-0.43,0.755
12/1/2016,-0.3,0.728125
11/1/2016,-0.01,0.713125
10/1/2016,-0.02,0.7
9/1/2016,0,0.693125
8/1/2016,0.13,0.718125
7/1/2016,0.03,0.75625
6/1/2016,0,0.7575
5/1/2016,0.09,0.73875
4/1/2016,-0.03,0.73
3/1/2016,0.21,0.735
2/1/2016,0.09,0.76
1/1/2016,-0.02,0.7775
12/1/2015,-0.14,0.785
11/1/2015,0.09,0.79
10/1/2015,0.02,0.785
9/1/2015,0.14,0.8125
8/1/2015,-0.07,0.83
7/1/2015,-0.14,0.806875
6/1/2015,-0.17,0.769375
5/1/2015,0.1,0.735
4/1/2015,-0.06,0.715
3/1/2015,-0.04,0.7025
2/1/2015,0.19,0.7175
1/1/2015,0.14,0.77
12/1/2014,0.04,0.82
11/1/2014,0.12,0.84
10/1/2014,-0.04,0.86
9/1/2014,0.01,0.88
8/1/2014,0.03,0.9025
7/1/2014,0.03,0.9075
6/1/2014,0.15,0.9375
5/1/2014,0,0.9775
4/1/2014,-0.04,0.965
3/1/2014,0.13,0.955
2/1/2014,0.03,0.97625
1/1/2014,-0.2,0.97625
12/1/2013,-0.07,0.94
11/1/2013,0.3,0.945
10/1/2013,-0.03,0.97
9/1/2013,-0.09,0.955
8/1/2013,-0.3,0.9325
7/1/2013,-0.53,0.8725
6/1/2013,-0.09,0.8175
5/1/2013,0.12,0.825
4/1/2013,-0.04,0.7975
3/1/2013,-0.12,0.735
2/1/2013,-0.06,0.7
1/1/2013,0,0.69
12/1/2012,0.03,0.7025
11/1/2012,0.12,0.7075
10/1/2012,0.1,0.72
9/1/2012,-0.05,0.72
8/1/2012,0.13,0.715
7/1/2012,0.12,0.7625
6/1/2012,0.11,0.7825
5/1/2012,0.04,0.76
4/1/2012,-0.06,0.74
3/1/2012,0.03,0.725
2/1/2012,0.04,0.7025
1/1/2012,0.03,0.6825
12/1/2011,0.08,0.7
11/1/2011,0.04,0.7675
10/1/2011,0.16,0.8125
9/1/2011,0.28,0.84
8/1/2011,-0.04,0.845
