date,ME
1/1/2000,1
2/1/2000,1
3/1/2000,1
4/1/2000,0.006345366
5/1/2000,0.364851048
6/1/2000,1
7/1/2000,2.69E-08
8/1/2000,0.002281336
9/1/2000,1
10/1/2000,1
11/1/2000,1
12/1/2000,1
1/1/2001,1
2/1/2001,1
3/1/2001,1
4/1/2001,0.588429944
5/1/2001,1
6/1/2001,0.003758506
7/1/2001,4.98E-05
8/1/2001,0.000165434
9/1/2001,0.00030905
10/1/2001,1
11/1/2001,1
12/1/2001,1
1/1/2002,0.233205938
2/1/2002,3.83E-10
3/1/2002,8.95E-09
4/1/2002,3.34E-05
5/1/2002,3.38E-10
6/1/2002,2.09E-08
7/1/2002,0.00016135
8/1/2002,0.329032926
9/1/2002,1
10/1/2002,1
11/1/2002,1
12/1/2002,0.4719048
1/1/2003,1
2/1/2003,1
3/1/2003,1
4/1/2003,1
5/1/2003,1
6/1/2003,0.066171957
7/1/2003,1
8/1/2003,1
9/1/2003,2.27E-11
10/1/2003,0
11/1/2003,0
12/1/2003,0
1/1/2004,1.22E-15
2/1/2004,1.37E-14
3/1/2004,1.68E-11
4/1/2004,3.21E-09
5/1/2004,4.29E-05
6/1/2004,1.87E-13
7/1/2004,0
8/1/2004,0
9/1/2004,0
10/1/2004,2.88E-14
11/1/2004,8.37E-12
12/1/2004,4.04E-11
1/1/2005,2.78E-11
2/1/2005,9.25E-12
3/1/2005,7.55E-11
4/1/2005,4.67E-09
5/1/2005,1.33E-15
6/1/2005,5.36E-14
7/1/2005,4.58E-11
8/1/2005,4.54E-08
9/1/2005,1.60E-10
10/1/2005,3.09E-13
11/1/2005,3.08E-12
12/1/2005,0
1/1/2006,0
2/1/2006,0
3/1/2006,0
4/1/2006,0
5/1/2006,0
6/1/2006,0
7/1/2006,0
8/1/2006,0
9/1/2006,0
10/1/2006,0
11/1/2006,0
12/1/2006,0
1/1/2007,0
2/1/2007,0
3/1/2007,0
4/1/2007,0
5/1/2007,0
6/1/2007,0
7/1/2007,0
8/1/2007,0
9/1/2007,0
10/1/2007,0
11/1/2007,0
12/1/2007,0
1/1/2008,0
2/1/2008,0
3/1/2008,6.85E-12
4/1/2008,2.33E-15
5/1/2008,0
6/1/2008,2.33E-15
7/1/2008,0
